GEOID,NAME,variable,estimate,moe
0100100,"Abanda CDP, Alabama",B19013_001,29263,2846
0100124,"Abbeville city, Alabama",B19013_001,35147,15376
0100460,"Adamsville city, Alabama",B19013_001,58631,13426
0100484,"Addison town, Alabama",B19013_001,47188,6288
0100676,"Akron town, Alabama",B19013_001,53929,35679
0100820,"Alabaster city, Alabama",B19013_001,89423,6760
0100988,"Albertville city, Alabama",B19013_001,55933,5487
0101132,"Alexander City city, Alabama",B19013_001,42141,4891
0101180,"Alexandria CDP, Alabama",B19013_001,95039,32104
0101228,"Aliceville city, Alabama",B19013_001,30152,8531
0101396,"Allgood town, Alabama",B19013_001,61964,33793
0101660,"Altoona town, Alabama",B19013_001,38750,16676
0101708,"Andalusia city, Alabama",B19013_001,44196,6182
0101756,"Anderson town, Alabama",B19013_001,81250,27378
0101852,"Anniston city, Alabama",B19013_001,45642,4711
0102116,"Arab city, Alabama",B19013_001,56471,4539
0102260,"Ardmore town, Alabama",B19013_001,39973,6237
0102320,"Argo town, Alabama",B19013_001,87134,19093
0102428,"Ariton town, Alabama",B19013_001,33370,8587
0102500,"Arley town, Alabama",B19013_001,41458,23793
0102836,"Ashford town, Alabama",B19013_001,51215,4158
0102860,"Ashland town, Alabama",B19013_001,30850,5514
0102908,"Ashville city, Alabama",B19013_001,54785,9170
0102956,"Athens city, Alabama",B19013_001,57444,7483
0103004,"Atmore city, Alabama",B19013_001,30472,6968
0103028,"Attalla city, Alabama",B19013_001,51875,15057
0103076,"Auburn city, Alabama",B19013_001,55509,6061
0103220,"Autaugaville town, Alabama",B19013_001,41607,10752
0103364,"Avon town, Alabama",B19013_001,52188,30836
0103508,"Axis CDP, Alabama",B19013_001,NA,NA
0103556,"Babbie town, Alabama",B19013_001,59712,10070
0103676,"Baileyton town, Alabama",B19013_001,58155,13570
0103724,"Bakerhill town, Alabama",B19013_001,50278,18691
0103820,"Ballplay CDP, Alabama",B19013_001,57582,23816
0103940,"Banks town, Alabama",B19013_001,46250,21584
0104660,"Bay Minette city, Alabama",B19013_001,36899,5268
0104684,"Bayou La Batre city, Alabama",B19013_001,40000,8736
0104852,"Bear Creek town, Alabama",B19013_001,38657,22487
0104900,"Beatrice town, Alabama",B19013_001,33214,9383
0104948,"Beaverton town, Alabama",B19013_001,46875,26110
0105140,"Belgreen CDP, Alabama",B19013_001,37083,10715
0105164,"Belk town, Alabama",B19013_001,42200,13071
0105188,"Bellamy CDP, Alabama",B19013_001,NA,NA
0105212,"Belle Fontaine CDP, Alabama",B19013_001,46944,39868
0105692,"Benton town, Alabama",B19013_001,44583,41321
0105812,"Berlin town, Alabama",B19013_001,61250,12827
0105932,"Berry town, Alabama",B19013_001,45329,9688
0105980,"Bessemer city, Alabama",B19013_001,34953,3488
0106460,"Billingsley town, Alabama",B19013_001,51250,17888
0107000,"Birmingham city, Alabama",B19013_001,42464,1814
0107120,"Black town, Alabama",B19013_001,55846,10888
0107456,"Blountsville town, Alabama",B19013_001,43455,3667
0107588,"Blue Ridge CDP, Alabama",B19013_001,113571,25538
0107672,"Blue Springs town, Alabama",B19013_001,54167,12093
0107912,"Boaz city, Alabama",B19013_001,43276,5679
0108104,"Boligee town, Alabama",B19013_001,14034,10673
0108248,"Bon Air town, Alabama",B19013_001,NA,NA
0108272,"Bon Secour CDP, Alabama",B19013_001,58500,53311
0108680,"Boykin CDP, Alabama",B19013_001,33250,29863
0109016,"Brantley town, Alabama",B19013_001,27375,16295
0109064,"Brantleyville CDP, Alabama",B19013_001,37857,19006
0109136,"Brent city, Alabama",B19013_001,26250,12904
0109208,"Brewton city, Alabama",B19013_001,45881,5674
0109328,"Bridgeport city, Alabama",B19013_001,34000,11613
0109400,"Brighton city, Alabama",B19013_001,34471,14037
0109424,"Brilliant town, Alabama",B19013_001,39318,26823
0109457,"Bristow Cove CDP, Alabama",B19013_001,27333,23044
0109500,"Brook Highland CDP, Alabama",B19013_001,73941,12676
0109736,"Brookside town, Alabama",B19013_001,55568,21209
0109808,"Brookwood town, Alabama",B19013_001,75125,10639
0109880,"Broomtown CDP, Alabama",B19013_001,NA,NA
0110240,"Brundidge city, Alabama",B19013_001,37627,4743
0110456,"Bucks CDP, Alabama",B19013_001,NA,NA
0111032,"Butler town, Alabama",B19013_001,47250,16792
