GEOID,NAME,variable,estimate,moe
0100100,"Abanda CDP, Alabama",B19013_001,24261,23279
0100124,"Abbeville city, Alabama",B19013_001,36875,11224
0100460,"Adamsville city, Alabama",B19013_001,46322,9779
0100484,"Addison town, Alabama",B19013_001,35625,5601
0100676,"Akron town, Alabama",B19013_001,25192,6031
0100820,"Alabaster city, Alabama",B19013_001,80072,3260
0100988,"Albertville city, Alabama",B19013_001,45867,5684
0101132,"Alexander City city, Alabama",B19013_001,38328,3857
0101180,"Alexandria CDP, Alabama",B19013_001,72229,10864
0101228,"Aliceville city, Alabama",B19013_001,22692,5578
0101396,"Allgood town, Alabama",B19013_001,41667,7875
0101660,"Altoona town, Alabama",B19013_001,32000,14561
0101708,"Andalusia city, Alabama",B19013_001,37708,6995
0101756,"Anderson town, Alabama",B19013_001,48750,12402
0101852,"Anniston city, Alabama",B19013_001,36051,2036
0102116,"Arab city, Alabama",B19013_001,46517,2653
0102260,"Ardmore town, Alabama",B19013_001,37069,5055
0102320,"Argo town, Alabama",B19013_001,72643,21281
0102428,"Ariton town, Alabama",B19013_001,33000,12483
0102500,"Arley town, Alabama",B19013_001,41563,17250
0102836,"Ashford town, Alabama",B19013_001,44489,4430
0102860,"Ashland town, Alabama",B19013_001,19154,7318
0102908,"Ashville city, Alabama",B19013_001,50093,10259
0102956,"Athens city, Alabama",B19013_001,53165,4187
0103004,"Atmore city, Alabama",B19013_001,26118,3733
0103028,"Attalla city, Alabama",B19013_001,39247,7860
0103076,"Auburn city, Alabama",B19013_001,47318,3958
0103220,"Autaugaville town, Alabama",B19013_001,32159,6128
0103364,"Avon town, Alabama",B19013_001,56667,21918
0103508,"Axis CDP, Alabama",B19013_001,57734,30297
0103556,"Babbie town, Alabama",B19013_001,31806,6720
0103676,"Baileyton town, Alabama",B19013_001,37118,17698
0103724,"Bakerhill town, Alabama",B19013_001,47500,20172
0103820,"Ballplay CDP, Alabama",B19013_001,70938,31779
0103940,"Banks town, Alabama",B19013_001,50000,21086
0104660,"Bay Minette city, Alabama",B19013_001,38971,10042
0104684,"Bayou La Batre city, Alabama",B19013_001,44554,5306
0104852,"Bear Creek town, Alabama",B19013_001,33462,7164
0104900,"Beatrice town, Alabama",B19013_001,28750,15831
0104948,"Beaverton town, Alabama",B19013_001,40694,14716
0105140,"Belgreen CDP, Alabama",B19013_001,31696,13394
0105164,"Belk town, Alabama",B19013_001,39583,15438
0105188,"Bellamy CDP, Alabama",B19013_001,NA,NA
0105212,"Belle Fontaine CDP, Alabama",B19013_001,53807,18530
0105692,"Benton town, Alabama",B19013_001,101458,27002
0105812,"Berlin town, Alabama",B19013_001,31951,23349
0105932,"Berry town, Alabama",B19013_001,45375,9254
0105980,"Bessemer city, Alabama",B19013_001,32301,3016
0106460,"Billingsley town, Alabama",B19013_001,29375,14516
0107000,"Birmingham city, Alabama",B19013_001,37375,1137
0107120,"Black town, Alabama",B19013_001,48750,22217
0107456,"Blountsville town, Alabama",B19013_001,36923,14134
0107588,"Blue Ridge CDP, Alabama",B19013_001,92250,19455
0107672,"Blue Springs town, Alabama",B19013_001,38750,22440
0107912,"Boaz city, Alabama",B19013_001,40551,4829
0108104,"Boligee town, Alabama",B19013_001,7875,5337
0108248,"Bon Air town, Alabama",B19013_001,25833,15433
0108272,"Bon Secour CDP, Alabama",B19013_001,27674,12696
0108680,"Boykin CDP, Alabama",B19013_001,12292,7172
0109016,"Brantley town, Alabama",B19013_001,20707,4002
0109064,"Brantleyville CDP, Alabama",B19013_001,42868,6565
0109136,"Brent city, Alabama",B19013_001,34283,20129
0109208,"Brewton city, Alabama",B19013_001,42898,6327
0109328,"Bridgeport city, Alabama",B19013_001,28568,7117
0109400,"Brighton city, Alabama",B19013_001,27250,6366
0109424,"Brilliant town, Alabama",B19013_001,24643,5031
0109457,"Bristow Cove CDP, Alabama",B19013_001,39083,27039
0109500,"Brook Highland CDP, Alabama",B19013_001,57184,10460
0109736,"Brookside town, Alabama",B19013_001,38482,11884
0109808,"Brookwood town, Alabama",B19013_001,64226,7666
0109880,"Broomtown CDP, Alabama",B19013_001,NA,NA
0110240,"Brundidge city, Alabama",B19013_001,33795,2223
0110456,"Bucks CDP, Alabama",B19013_001,NA,NA
0111032,"Butler town, Alabama",B19013_001,36959,8155
0111416,"Calera city, Alabama",B19013_001,61594,3334
0111488,"Calvert CDP, Alabama",B19013_001,27148,12651
0111512,"Camden city, Alabama",B19013_001,44524,11766
0111680,"Camp Hill town, Alabama",B19013_001,21667,16649
0112016,"Carbon Hill city, Alabama",B19013_001,28864,9707
0112040,"Cardiff town, Alabama",B19013_001,66250,64235
0112070,"Carlisle-Rockledge CDP, Alabama",B19013_001,32078,5636
0112112,"Carlton CDP, Alabama",B19013_001,NA,NA
0112160,"Carolina town, Alabama",B19013_001,46250,42923
0112304,"Carrollton town, Alabama",B19013_001,27063,15654
0112496,"Castleberry town, Alabama",B19013_001,23667,8484
0112544,"Catherine CDP, Alabama",B19013_001,NA,NA
0112760,"Cedar Bluff town, Alabama",B19013_001,32000,8259
0113264,"Center Point city, Alabama",B19013_001,43515,3740
0113648,"Centre city, Alabama",B19013_001,36263,6543
0113672,"Centreville city, Alabama",B19013_001,43086,9549
0114008,"Chatom town, Alabama",B19013_001,42143,20905
0114104,"Chelsea city, Alabama",B19013_001,97727,10150
0114152,"Cherokee town, Alabama",B19013_001,29674,10169
0114392,"Chickasaw city, Alabama",B19013_001,28611,5824
0114464,"Childersburg city, Alabama",B19013_001,31163,6053
0114728,"Choccolocco CDP, Alabama",B19013_001,79224,13631
0114968,"Chunchula CDP, Alabama",B19013_001,NA,NA
0115064,"Citronelle city, Alabama",B19013_001,41299,3661
0115136,"Clanton city, Alabama",B19013_001,44782,8814
0115256,"Clay city, Alabama",B19013_001,74387,10910
0115304,"Clayhatchee town, Alabama",B19013_001,52279,15623
0115376,"Clayton town, Alabama",B19013_001,27639,8008
0115472,"Cleveland town, Alabama",B19013_001,41136,8306
0115640,"Clio city, Alabama",B19013_001,21736,3412
0116000,"Coaling town, Alabama",B19013_001,70388,9795
0116080,"Coats Bend CDP, Alabama",B19013_001,43750,5419
0116240,"Coffee Springs town, Alabama",B19013_001,32813,10896
0116264,"Coffeeville town, Alabama",B19013_001,30833,10581
0116312,"Coker town, Alabama",B19013_001,71932,12367
0116600,"Collinsville town, Alabama",B19013_001,32303,8777
0116684,"Colony town, Alabama",B19013_001,38056,7988
0116744,"Columbia town, Alabama",B19013_001,35417,12338
0116768,"Columbiana city, Alabama",B19013_001,36583,15176
0116936,"Concord CDP, Alabama",B19013_001,77543,24742
0117176,"Coosada town, Alabama",B19013_001,50000,11190
0117368,"Cordova city, Alabama",B19013_001,29606,4562
0117704,"Cottondale CDP, Alabama",B19013_001,55603,11284
0117824,"Cottonwood town, Alabama",B19013_001,27941,4699
0117968,"County Line town, Alabama",B19013_001,46250,30882
0118040,"Courtland town, Alabama",B19013_001,39635,6884
0118088,"Cowarts town, Alabama",B19013_001,44808,4039
0118304,"Creola city, Alabama",B19013_001,45673,13671
0118856,"Crossville town, Alabama",B19013_001,42546,6133
0118952,"Cuba town, Alabama",B19013_001,51250,24006
0118976,"Cullman city, Alabama",B19013_001,48712,4411
0119024,"Cullomburg CDP, Alabama",B19013_001,65597,5930
0119216,"Cusseta town, Alabama",B19013_001,NA,NA
0119336,"Dadeville city, Alabama",B19013_001,24279,8709
0119360,"Daleville city, Alabama",B19013_001,41376,6934
0119648,"Daphne city, Alabama",B19013_001,71882,7985
0119744,"Dauphin Island town, Alabama",B19013_001,87596,15653
0119816,"Daviston town, Alabama",B19013_001,45000,13130
0119912,"Dayton town, Alabama",B19013_001,NA,NA
0120008,"Deatsville town, Alabama",B19013_001,79243,12087
0120104,"Decatur city, Alabama",B19013_001,48429,2477
0120152,"Deer Park CDP, Alabama",B19013_001,NA,NA
0120272,"Delta CDP, Alabama",B19013_001,108300,69084
0120296,"Demopolis city, Alabama",B19013_001,27279,6878
0120392,"Detroit town, Alabama",B19013_001,31250,13868
0120955,"Dodge City town, Alabama",B19013_001,45536,8287
0121136,"Dora city, Alabama",B19013_001,35536,3635
0121184,"Dothan city, Alabama",B19013_001,47081,1206
0121280,"Double Springs town, Alabama",B19013_001,26442,6987
0121328,"Douglas town, Alabama",B19013_001,36181,10670
0121448,"Dozier town, Alabama",B19013_001,21500,2654
0121890,"Dunnavant CDP, Alabama",B19013_001,45341,21357
0121952,"Dutton town, Alabama",B19013_001,46750,15731
0122216,"East Brewton city, Alabama",B19013_001,36696,8200
0122504,"East Point CDP, Alabama",B19013_001,68060,43879
0122816,"Eclectic town, Alabama",B19013_001,41563,6203
0123032,"Edgewater CDP, Alabama",B19013_001,37159,28234
0123176,"Edwardsville town, Alabama",B19013_001,44063,19698
0123224,"Egypt CDP, Alabama",B19013_001,41148,9371
0123296,"Elba city, Alabama",B19013_001,37134,7537
0123320,"Elberta town, Alabama",B19013_001,40278,6214
0123344,"Eldridge town, Alabama",B19013_001,55000,32750
0123488,"Elkmont town, Alabama",B19013_001,56944,12834
0123656,"Elmore town, Alabama",B19013_001,32386,9675
0123872,"Emelle town, Alabama",B19013_001,48000,39549
0123880,"Emerald Mountain CDP, Alabama",B19013_001,87177,15821
0124184,"Enterprise city, Alabama",B19013_001,62695,3672
0124256,"Epes town, Alabama",B19013_001,NA,NA
0124472,"Ethelsville town, Alabama",B19013_001,39167,35534
0124568,"Eufaula city, Alabama",B19013_001,33132,4952
0124616,"Eunola CDP, Alabama",B19013_001,45521,31176
0124664,"Eutaw town, Alabama",B19013_001,25716,6827
0124688,"Eva town, Alabama",B19013_001,76458,21126
0124808,"Evergreen city, Alabama",B19013_001,32602,8601
0124880,"Excel town, Alabama",B19013_001,66250,17113
0125120,"Fairfield city, Alabama",B19013_001,40652,1823
0125216,"Fairford CDP, Alabama",B19013_001,NA,NA
0125240,"Fairhope city, Alabama",B19013_001,75197,9303
0125384,"Fairview town, Alabama",B19013_001,42292,10572
0125648,"Falkville town, Alabama",B19013_001,42813,7216
